Experiment File Name,Well,Sample Name,Target Name,Ct
ABI7500ExperimentName_,E7,Sample,C19,Undetermined
ABI7500ExperimentName_,E7,Sample,FluAB,Undetermined
ABI7500ExperimentName_,E7,Sample,MS2,24.04973984
ABI7500ExperimentName_,E7,Sample,RSV,Undetermined
ABI7500ExperimentName_,E8,Sample,C19,Undetermined
ABI7500ExperimentName_,E8,Sample,FluAB,Undetermined
ABI7500ExperimentName_,E8,Sample,MS2,25.34698296
ABI7500ExperimentName_,E8,Sample,RSV,Undetermined
ABI7500ExperimentName_,E9,Sample,C19,Undetermined
ABI7500ExperimentName_,E9,Sample,FluAB,Undetermined
ABI7500ExperimentName_,E9,Sample,MS2,24.04067993
ABI7500ExperimentName_,E9,Sample,RSV,Undetermined
ABI7500ExperimentName_,E10,Sample,C19,Undetermined
ABI7500ExperimentName_,E10,Sample,FluAB,Undetermined
ABI7500ExperimentName_,E10,Sample,MS2,23.97521782
ABI7500ExperimentName_,E10,Sample,RSV,Undetermined
ABI7500ExperimentName_,E11,Sample,C19,Undetermined
ABI7500ExperimentName_,E11,Sample,FluAB,Undetermined
ABI7500ExperimentName_,E11,Sample,MS2,23.50930595
ABI7500ExperimentName_,E11,Sample,RSV,Undetermined
ABI7500ExperimentName_,E12,NC,C19,Undetermined
ABI7500ExperimentName_,E12,NC,FluAB,Undetermined
ABI7500ExperimentName_,E12,NC,MS2,23.99481392
ABI7500ExperimentName_,E12,NC,RSV,Undetermined
ABI7500ExperimentName_,F1,Sample,C19,Undetermined
ABI7500ExperimentName_,F1,Sample,FluAB,Undetermined
ABI7500ExperimentName_,F1,Sample,MS2,24.78631401
ABI7500ExperimentName_,F1,Sample,RSV,Undetermined
ABI7500ExperimentName_,F2,Sample,C19,Undetermined
ABI7500ExperimentName_,F2,Sample,FluAB,Undetermined
ABI7500ExperimentName_,F2,Sample,MS2,24.45931435
ABI7500ExperimentName_,F2,Sample,RSV,Undetermined
ABI7500ExperimentName_,F3,Sample,C19,Undetermined
ABI7500ExperimentName_,F3,Sample,FluAB,Undetermined
ABI7500ExperimentName_,F3,Sample,MS2,24.37084579
ABI7500ExperimentName_,F3,Sample,RSV,Undetermined
ABI7500ExperimentName_,F4,Sample,C19,Undetermined
ABI7500ExperimentName_,F4,Sample,FluAB,Undetermined
ABI7500ExperimentName_,F4,Sample,MS2,24.3934288
ABI7500ExperimentName_,F4,Sample,RSV,Undetermined
ABI7500ExperimentName_,F5,Sample,C19,Undetermined
ABI7500ExperimentName_,F5,Sample,FluAB,Undetermined
ABI7500ExperimentName_,F5,Sample,MS2,26.24760818
ABI7500ExperimentName_,F5,Sample,RSV,Undetermined
ABI7500ExperimentName_,F6,Sample,C19,Undetermined
ABI7500ExperimentName_,F6,Sample,FluAB,Undetermined
ABI7500ExperimentName_,F6,Sample,MS2,22.61152458
ABI7500ExperimentName_,F6,Sample,RSV,Undetermined
ABI7500ExperimentName_,F7,Sample,C19,Undetermined
ABI7500ExperimentName_,F7,Sample,FluAB,Undetermined
ABI7500ExperimentName_,F7,Sample,MS2,24.19559479
ABI7500ExperimentName_,F7,Sample,RSV,Undetermined
ABI7500ExperimentName_,F8,Sample,C19,
ABI7500ExperimentName_,F8,Sample,FluAB,
ABI7500ExperimentName_,F8,Sample,MS2,
ABI7500ExperimentName_,F8,Sample,RSV,
ABI7500ExperimentName_,F9,Sample,C19,Undetermined
ABI7500ExperimentName_,F9,Sample,FluAB,Undetermined
ABI7500ExperimentName_,F9,Sample,MS2,23.66336823
ABI7500ExperimentName_,F9,Sample,RSV,Undetermined
ABI7500ExperimentName_,F10,Sample,C19,Undetermined
ABI7500ExperimentName_,F10,Sample,FluAB,Undetermined
ABI7500ExperimentName_,F10,Sample,MS2,22.6934185
ABI7500ExperimentName_,F10,Sample,RSV,Undetermined
